,taxon_id,1K_1-order,1K_2-order,1K_3-order,1K_4-order,1K_5-order,10K_1-order,10K_2-order,10K_3-order,10K_4-order,10K_5-order,100K_1-order,100K_2-order,100K_3-order,100K_4-order,100K_5-order,1M_1-order,1M_2-order,1M_3-order,1M_4-order,1M_5-order,10M_1-order,10M_3-order,10M_4-order,10M_5-order
Alteromonadales,135622.0,73.0,73.0,70.0,73.0,70.0,701.0,717.0,659.0,678.0,660.0,6928.0,6857.0,7064.0,6798.0,7049.0,69170.0,69751.0,69558.0,69719.0,69681.0,694891.0,695005.0,693444.0,694667.0
Flavobacteriales,200644.0,47.0,44.0,40.0,46.0,42.0,553.0,532.0,505.0,551.0,522.0,5615.0,5420.0,5299.0,5369.0,5383.0,54135.0,53784.0,54198.0,53985.0,54240.0,541494.0,541745.0,542403.0,541585.0
Rhodobacterales,204455.0,41.0,51.0,34.0,37.0,41.0,449.0,456.0,469.0,416.0,465.0,4406.0,4373.0,4435.0,4504.0,4376.0,44443.0,44302.0,44398.0,44600.0,44410.0,445380.0,445680.0,445405.0,446306.0
Oceanospirillales,135619.0,28.0,29.0,28.0,35.0,43.0,315.0,320.0,315.0,286.0,348.0,3218.0,3207.0,3271.0,3131.0,3192.0,31824.0,31955.0,32126.0,31602.0,31913.0,319036.0,319022.0,318945.0,318538.0
Sphingomonadales,204457.0,12.0,8.0,13.0,11.0,7.0,110.0,105.0,116.0,102.0,88.0,980.0,957.0,897.0,968.0,986.0,9763.0,9520.0,9742.0,9602.0,9785.0,96938.0,96932.0,97114.0,96933.0
Pelagibacterales,54526.0,8.0,7.0,6.0,4.0,4.0,51.0,62.0,56.0,55.0,59.0,577.0,542.0,508.0,563.0,485.0,5275.0,5319.0,5303.0,5272.0,5328.0,52933.0,53168.0,53125.0,52987.0
Hyphomicrobiales,356.0,7.0,3.0,3.0,10.0,6.0,53.0,48.0,58.0,53.0,40.0,491.0,444.0,489.0,466.0,443.0,4688.0,4628.0,4597.0,4785.0,4552.0,46015.0,46004.0,46032.0,45945.0
Vibrionales,135623.0,6.0,2.0,1.0,1.0,0.0,27.0,16.0,22.0,20.0,16.0,185.0,216.0,196.0,228.0,190.0,2133.0,2098.0,2114.0,2112.0,2068.0,20835.0,20929.0,21005.0,20972.0
Saprospirales,1936988.0,6.0,2.0,3.0,1.0,1.0,20.0,21.0,27.0,24.0,26.0,276.0,320.0,281.0,292.0,252.0,2855.0,2830.0,2893.0,2917.0,2785.0,28369.0,28206.0,28100.0,28191.0
Burkholderiales,80840.0,5.0,8.0,3.0,4.0,4.0,56.0,56.0,59.0,67.0,59.0,609.0,642.0,631.0,614.0,586.0,5979.0,6249.0,6079.0,5996.0,5959.0,60299.0,60283.0,60298.0,60678.0
Moraxellales,2887326.0,5.0,7.0,4.0,6.0,3.0,53.0,61.0,49.0,62.0,55.0,641.0,590.0,583.0,570.0,621.0,5780.0,5701.0,5756.0,5674.0,5686.0,57027.0,57458.0,57267.0,57295.0
Thalassiosirales,33847.0,4.0,8.0,2.0,5.0,5.0,49.0,48.0,48.0,47.0,36.0,441.0,504.0,474.0,466.0,475.0,4788.0,4650.0,4594.0,4538.0,4529.0,46387.0,46303.0,46257.0,46249.0
Desulfobacterales,213118.0,4.0,2.0,2.0,2.0,0.0,46.0,36.0,36.0,37.0,36.0,364.0,405.0,374.0,400.0,365.0,3754.0,3738.0,3697.0,3833.0,3702.0,37303.0,37397.0,37624.0,37614.0
Cellvibrionales,1706369.0,4.0,6.0,13.0,3.0,4.0,72.0,81.0,77.0,75.0,78.0,772.0,811.0,772.0,767.0,784.0,7761.0,7661.0,7789.0,7715.0,7738.0,76317.0,76810.0,76841.0,76477.0
Chromatiales,135613.0,3.0,4.0,4.0,5.0,7.0,39.0,40.0,42.0,33.0,27.0,420.0,386.0,449.0,366.0,386.0,3916.0,3953.0,4023.0,4135.0,4002.0,40153.0,40139.0,40321.0,40020.0
Pirellulales,2691354.0,3.0,2.0,5.0,2.0,3.0,21.0,23.0,14.0,13.0,18.0,214.0,218.0,218.0,225.0,211.0,2252.0,2179.0,2126.0,2130.0,2166.0,21683.0,21641.0,21541.0,21557.0
Chlorellales,35460.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,34.0,45.0,36.0,40.0,39.0,356.0,344.0,360.0,381.0,353.0,3579.0,3549.0,3559.0,3576.0
Verrucomicrobiales,48461.0,2.0,2.0,2.0,1.0,6.0,28.0,31.0,29.0,34.0,24.0,249.0,289.0,277.0,307.0,279.0,2810.0,2860.0,2827.0,2782.0,2944.0,28356.0,28386.0,28433.0,28415.0
Desulfuromonadales,69541.0,2.0,0.0,2.0,0.0,0.0,5.0,4.0,9.0,4.0,9.0,58.0,43.0,37.0,49.0,43.0,453.0,467.0,490.0,473.0,499.0,4784.0,4800.0,4798.0,4861.0
Pseudomonadales,72274.0,2.0,2.0,3.0,3.0,3.0,14.0,20.0,29.0,21.0,24.0,229.0,216.0,211.0,212.0,233.0,2208.0,2222.0,2240.0,2185.0,2147.0,21902.0,21943.0,21907.0,21824.0
Micrococcales,85006.0,2.0,2.0,4.0,3.0,2.0,22.0,33.0,25.0,28.0,31.0,253.0,262.0,245.0,271.0,283.0,2524.0,2610.0,2552.0,2599.0,2585.0,25339.0,25310.0,25366.0,25221.0
Gemmatimonadales,219686.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,2.0,13.0,16.0,11.0,21.0,17.0,154.0,159.0,180.0,167.0,137.0,1559.0,1532.0,1568.0,1590.0
Chaetocerotales,265576.0,2.0,1.0,5.0,2.0,2.0,16.0,14.0,11.0,18.0,24.0,155.0,166.0,161.0,179.0,166.0,1558.0,1543.0,1503.0,1514.0,1543.0,15157.0,15263.0,15347.0,15260.0
Cytophagales,768507.0,2.0,6.0,10.0,6.0,5.0,52.0,53.0,78.0,72.0,51.0,666.0,657.0,673.0,684.0,653.0,6567.0,6650.0,6465.0,6603.0,6461.0,65636.0,65562.0,65387.0,65558.0
Synechococcales,1890424.0,2.0,0.0,0.0,0.0,0.0,6.0,5.0,2.0,16.0,7.0,51.0,36.0,56.0,60.0,50.0,542.0,565.0,552.0,554.0,558.0,5475.0,5404.0,5493.0,5398.0
Mamiellales,13792.0,1.0,4.0,2.0,1.0,0.0,23.0,12.0,23.0,25.0,20.0,192.0,206.0,231.0,196.0,218.0,2102.0,2110.0,2097.0,2092.0,2151.0,21028.0,20962.0,20811.0,20839.0
Bacillariales,33851.0,1.0,2.0,2.0,4.0,2.0,16.0,19.0,29.0,21.0,25.0,245.0,235.0,256.0,232.0,217.0,2420.0,2498.0,2453.0,2441.0,2503.0,24437.0,24393.0,24501.0,24558.0
Naviculales,38748.0,1.0,5.0,9.0,4.0,7.0,50.0,60.0,55.0,67.0,61.0,499.0,504.0,499.0,522.0,510.0,4986.0,5058.0,5158.0,4916.0,5076.0,50581.0,50679.0,50577.0,50406.0
Pelagomonadales,54409.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0,3.0,44.0,51.0,48.0,56.0,57.0,476.0,492.0,478.0,472.0
Corynebacteriales,85007.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,7.0,3.0,7.0,68.0,52.0,61.0,50.0,58.0,494.0,523.0,543.0,524.0,525.0,5219.0,5242.0,5246.0,5202.0
Suessiales,89954.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,0.0,3.0,32.0,28.0,29.0,36.0,27.0,297.0,284.0,259.0,267.0,307.0,2939.0,2878.0,2869.0,2862.0
Enterobacterales,91347.0,1.0,0.0,1.0,1.0,1.0,6.0,8.0,3.0,11.0,8.0,68.0,65.0,72.0,68.0,69.0,758.0,732.0,721.0,693.0,710.0,7231.0,7314.0,7299.0,7273.0
Cymbellales,97224.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,4.0,11.0,12.0,15.0,12.0,25.0,161.0,157.0,146.0,154.0,168.0,1624.0,1630.0,1606.0,1672.0
Sphingobacteriales,200666.0,1.0,0.0,1.0,1.0,0.0,13.0,9.0,4.0,9.0,14.0,94.0,76.0,90.0,79.0,81.0,835.0,827.0,823.0,822.0,817.0,8573.0,8491.0,8380.0,8539.0
Caulobacterales,204458.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,21.0,17.0,17.0,19.0,17.0,173.0,154.0,169.0,143.0,175.0,1643.0,1643.0,1653.0,1688.0
Ktedonobacterales,388448.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,12.0,12.0,8.0,17.0,14.0,144.0,141.0,142.0,141.0
Nitrospinales,1293499.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,8.0,10.0,5.0,7.0,74.0,60.0,63.0,78.0,69.0,653.0,662.0,674.0,657.0
Ferrovales,1442155.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,12.0,13.0,9.0,8.0,5.0,100.0,92.0,102.0,110.0
Rhodothermales,1853224.0,1.0,2.0,0.0,2.0,1.0,10.0,9.0,2.0,6.0,5.0,52.0,65.0,64.0,62.0,61.0,613.0,662.0,677.0,658.0,620.0,6383.0,6339.0,6414.0,6394.0
Cryptosporangiales,2495577.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,8.0,3.0,8.0,53.0,55.0,52.0,56.0
Hyphomonadales,2800060.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,7.0,3.0,4.0,33.0,32.0,38.0,36.0,39.0,379.0,381.0,394.0,388.0,419.0,3914.0,3848.0,3808.0,3841.0
Viruses,10239.0,1.0,0.0,1.0,3.0,0.0,12.0,11.0,11.0,16.0,11.0,97.0,109.0,109.0,106.0,105.0,1082.0,1068.0,1092.0,999.0,982.0,10473.0,10331.0,10449.0,10484.0
cannot be assigned to a (non-viral) order,nan,73.0,84.0,66.0,76.0,60.0,672.0,628.0,716.0,612.0,667.0,6677.0,6756.0,6582.0,6604.0,6775.0,66909.0,66743.0,66196.0,66875.0,66115.0,665696.0,666697.0,664706.0,666510.0
unclassified,nan,636.0,610.0,643.0,610.0,637.0,6136.0,6167.0,6131.0,6230.0,6172.0,61298.0,61450.0,61503.0,61748.0,61378.0,615235.0,615405.0,615179.0,615692.0,615905.0,6155891.0,6153848.0,6156336.0,6154557.0
Streptomycetales,85011.0,0.0,3.0,0.0,1.0,0.0,1.0,3.0,4.0,1.0,3.0,30.0,34.0,36.0,27.0,33.0,304.0,267.0,302.0,277.0,297.0,2831.0,2809.0,2824.0,2843.0
Rhodospirillales,204441.0,0.0,2.0,2.0,0.0,1.0,10.0,7.0,12.0,15.0,16.0,173.0,153.0,156.0,149.0,189.0,1634.0,1620.0,1548.0,1551.0,1573.0,16031.0,15805.0,15883.0,15937.0
Marinilabiliales,1970189.0,0.0,2.0,0.0,0.0,1.0,11.0,6.0,9.0,11.0,7.0,70.0,60.0,61.0,49.0,65.0,546.0,579.0,591.0,549.0,585.0,5710.0,5789.0,5754.0,5758.0
Planctomycetales,112.0,0.0,1.0,1.0,0.0,1.0,14.0,10.0,8.0,8.0,12.0,97.0,94.0,97.0,97.0,105.0,1001.0,965.0,988.0,992.0,999.0,9831.0,9853.0,9695.0,9802.0
Bacillales,1385.0,0.0,1.0,1.0,2.0,2.0,5.0,7.0,8.0,8.0,9.0,58.0,78.0,62.0,55.0,57.0,606.0,576.0,593.0,641.0,587.0,5967.0,5819.0,5932.0,6051.0
Atractiellales,34420.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,34.0,30.0,33.0,29.0
Aeromonadales,135624.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0,1.0,24.0,13.0,31.0,12.0,13.0,222.0,214.0,197.0,203.0,182.0,1989.0,1974.0,1953.0,1952.0
Desulfovibrionales,213115.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,16.0,11.0,16.0,19.0,15.0,165.0,131.0,146.0,128.0,153.0,1319.0,1400.0,1388.0,1343.0
Acidithiobacillales,225057.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,6.0,7.0,5.0,7.0,57.0,69.0,53.0,54.0,77.0,646.0,596.0,620.0,624.0
Triceratiales,232508.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,6.0,9.0,6.0,11.0,7.0,67.0,63.0,79.0,69.0,69.0,696.0,676.0,703.0,712.0
Anaerolineales,292629.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0,1.0,2.0,1.0,18.0,22.0,23.0,19.0,25.0,221.0,228.0,211.0,222.0,245.0,2248.0,2223.0,2237.0,2257.0
Sporadotrichida,693921.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,17.0,20.0,13.0,15.0,9.0,126.0,147.0,167.0,169.0,159.0,1495.0,1478.0,1475.0,1503.0
Candidatus Actinomarinales,1389450.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,6.0,6.0,7.0,8.0,59.0,64.0,62.0,69.0,70.0,574.0,588.0,596.0,603.0
Arenicellales,1617890.0,0.0,1.0,0.0,1.0,0.0,8.0,9.0,6.0,8.0,3.0,63.0,80.0,70.0,64.0,63.0,670.0,635.0,687.0,665.0,669.0,6853.0,6849.0,6941.0,6872.0
Emcibacterales,2066490.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,2.0,4.0,7.0,5.0,54.0,34.0,47.0,46.0,48.0,508.0,507.0,501.0,533.0
Isosphaerales,2691356.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,10.0,1.0,10.0,5.0,8.0,66.0,74.0,80.0,81.0,67.0,739.0,739.0,748.0,733.0
Maricaulales,2800059.0,0.0,1.0,0.0,0.0,0.0,5.0,9.0,5.0,3.0,4.0,31.0,35.0,48.0,41.0,57.0,411.0,425.0,425.0,425.0,397.0,4255.0,4210.0,4182.0,4183.0
Pseudanabaenales,2881377.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,2.0,3.0,4.0,40.0,37.0,24.0,33.0,29.0,308.0,291.0,334.0,288.0,279.0,3092.0,3075.0,3070.0,3042.0
Rickettsiales,766.0,0.0,0.0,1.0,0.0,2.0,13.0,12.0,16.0,18.0,16.0,160.0,154.0,152.0,166.0,167.0,1472.0,1472.0,1528.0,1543.0,1512.0,14912.0,14868.0,14840.0,14990.0
Bangiales,29216.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0,6.0,6.0,8.0,57.0,56.0,52.0,63.0
Nitrosomonadales,32003.0,0.0,0.0,1.0,7.0,3.0,17.0,17.0,20.0,20.0,17.0,184.0,185.0,178.0,181.0,187.0,1861.0,1831.0,1698.0,1762.0,1779.0,18133.0,18101.0,18034.0,18212.0
Acidimicrobiales,84993.0,0.0,0.0,1.0,0.0,1.0,16.0,13.0,14.0,9.0,19.0,131.0,126.0,138.0,98.0,118.0,1286.0,1315.0,1321.0,1246.0,1251.0,12996.0,13078.0,13093.0,12948.0
Propionibacteriales,85009.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,4.0,3.0,6.0,54.0,49.0,41.0,40.0,41.0,435.0,436.0,414.0,437.0,429.0,4165.0,4109.0,4249.0,4187.0
Hymenochaetales,139380.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,3.0,29.0,34.0,26.0,29.0
Neisseriales,206351.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,2.0,0.0,3.0,23.0,19.0,23.0,20.0,26.0,225.0,229.0,214.0,234.0,221.0,2258.0,2175.0,2248.0,2236.0
Campylobacterales,213849.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,3.0,2.0,2.0,30.0,26.0,32.0,28.0,46.0,276.0,303.0,327.0,311.0,318.0,3081.0,3127.0,3090.0,3082.0
Cyanidiales,265318.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,16.0,6.0,4.0,9.0,8.0,110.0,101.0,111.0,116.0
Bacteriovoracales,2024979.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,15.0,12.0,11.0,8.0,15.0,132.0,127.0,135.0,163.0,127.0,1445.0,1480.0,1452.0,1441.0
Myxococcales,29.0,0.0,0.0,0.0,2.0,0.0,7.0,5.0,7.0,9.0,5.0,70.0,60.0,66.0,54.0,54.0,691.0,662.0,669.0,678.0,599.0,6680.0,6557.0,6751.0,6551.0
Xanthomonadales,135614.0,0.0,0.0,0.0,2.0,0.0,21.0,15.0,17.0,20.0,8.0,105.0,109.0,112.0,97.0,116.0,1173.0,1121.0,1167.0,1128.0,1105.0,11556.0,11583.0,11597.0,11447.0
Bacteroidales,171549.0,0.0,0.0,0.0,2.0,0.0,4.0,7.0,1.0,8.0,3.0,42.0,52.0,52.0,39.0,47.0,460.0,471.0,497.0,473.0,525.0,4930.0,4880.0,4959.0,4917.0
Chitinophagales,1853229.0,0.0,0.0,0.0,2.0,0.0,8.0,3.0,4.0,2.0,6.0,42.0,41.0,58.0,58.0,34.0,496.0,489.0,534.0,478.0,478.0,4932.0,4956.0,5033.0,4944.0
Oscillatoriales,1150.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,3.0,3.0,3.0,15.0,18.0,19.0,28.0,26.0,209.0,189.0,201.0,182.0,191.0,2005.0,1998.0,1968.0,1998.0
Agaricales,5338.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,3.0,1.0,36.0,48.0,44.0,52.0,35.0,422.0,425.0,421.0,445.0
Nitrosopumilales,31932.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,2.0,1.0,25.0,19.0,20.0,30.0,27.0,278.0,279.0,236.0,235.0,277.0,2496.0,2521.0,2458.0,2543.0
Pleurocapsales,52604.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,8.0,14.0,14.0,11.0,15.0,129.0,132.0,125.0,120.0,128.0,1220.0,1197.0,1197.0,1176.0
Leptomyxida,66524.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
Thiotrichales,72273.0,0.0,0.0,0.0,1.0,0.0,10.0,12.0,11.0,10.0,20.0,107.0,114.0,127.0,128.0,127.0,1156.0,1117.0,1160.0,1148.0,1158.0,11368.0,11561.0,11519.0,11524.0
Pseudonocardiales,85010.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,10.0,20.0,20.0,20.0,21.0,169.0,157.0,176.0,158.0,170.0,1627.0,1651.0,1669.0,1674.0
Pythiales,121069.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,5.0,3.0,44.0,37.0,29.0,26.0,55.0,377.0,346.0,382.0,366.0
Nitrospirales,189778.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,4.0,2.0,18.0,19.0,15.0,19.0,22.0,183.0,202.0,179.0,189.0,201.0,1909.0,1934.0,1922.0,1910.0
Chlorobiales,191411.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,5.0,5.0,4.0,28.0,34.0,27.0,40.0,32.0,379.0,400.0,397.0,367.0
Sneathiellales,510684.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,8.0,15.0,11.0,12.0,10.0,110.0,105.0,123.0,143.0,115.0,1164.0,1206.0,1166.0,1170.0
