Phylum,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
Fibrobacterota,,,,,,,,,,,,,,,,3e-06,2e-06,2e-06,3e-06,,3.5e-06,3.4e-06,3.8e-06,2.1e-06,3.5e-06
Filasterea,,,,,,,,,,,,,,,,2e-05,,3e-06,2e-05,7e-06,1.36e-05,1.51e-05,1.47e-05,1.29e-05,1.43e-05
Firmicutes,,,,0.002,,0.0052,0.0072,0.0015,0.0018,0.0067,0.00624,0.00603,0.00507,0.00403,0.0047,0.005563,0.005482,0.00545,0.005083,0.005207,0.0058082,0.0057028,0.0057402,0.0056762,0.0056808
Foraminifera,0.091,0.099,0.103,0.088,0.13,0.0871,0.0869,0.0894,0.0934,0.0856,0.08771,0.08641,0.08793,0.0876,0.08787,0.08623,0.086137,0.086125,0.085923,0.085831,0.0856836,0.0856925,0.0856803,0.0856,0.0855672
Fornicata,,,,,,,,,,,,,,,,,,,,,1.1e-06,3e-07,8e-07,7e-07,6e-07
Fusobacteria,,,,,,,,,,,,3e-05,,8e-05,3e-05,6.8e-05,7.6e-05,7.6e-05,0.000101,8.2e-05,0.000128,0.0001362,0.0001429,0.0001374,0.0001312
Fusobacteriota,,,,,,,,,,,0.00011,3e-05,6e-05,5e-05,,7.1e-05,5.6e-05,7.5e-05,7.6e-05,8.3e-05,6.17e-05,6.23e-05,6.14e-05,6.1e-05,6.41e-05
GAL15,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Gastrotricha,,,,,0.022,0.0061,0.0042,0.0061,0.0055,0.0044,0.00448,0.0045,0.00433,0.00447,0.00435,0.004229,0.004204,0.004172,0.004284,0.004202,0.0042466,0.0042418,0.0042728,0.0042335,0.0042674
Gemmatimonadetes,,,,,,,,,,,7e-05,7e-05,0.00011,4e-05,8e-05,0.000207,0.000189,0.000175,0.000187,0.000206,0.0002216,0.0002156,0.0002069,0.0002195,0.0002164
Gemmatimonadota,,,,,,,,,,,3e-05,,3e-05,,,5.3e-05,6.3e-05,4.7e-05,6.9e-05,3.7e-05,5.23e-05,5.17e-05,5.36e-05,5.31e-05,5.35e-05
Glomeromycota,,,,,,,,,,,,,,,,,,,,,7e-07,2.5e-06,1.3e-06,5e-07,6e-07
Gnathostomulida,,,,,,,,,,,,,,,,,2e-06,,,,2e-07,3e-07,,,4e-07
Gracilibacteria,,,,,,,,,,,,2e-05,,,,2.6e-05,4.8e-05,2e-05,2.7e-05,1.8e-05,4.52e-05,4.54e-05,4.64e-05,4.38e-05,4.94e-05
Hadesarchaea,,,,,,,,,,,,,,,,9e-06,6e-06,3e-06,2e-06,4e-06,6.9e-06,6e-06,8.1e-06,7e-06,6.6e-06
Haptophyta,,,,,,0.0006,,,,,0.00025,0.00037,0.00032,0.00031,0.00026,0.000281,0.0003,0.000275,0.000275,0.00029,0.0002852,0.0002844,0.0002911,0.0002913,0.0002834
Hemichordata,,,,,,,,,,,,,,,,,,,,,1.1e-06,9e-07,8e-07,1.7e-06,1e-06
Heterolobosea,,,,,,,,,,,,,,,,,3e-06,,2e-06,4e-06,2.2e-06,3e-06,2.1e-06,1.4e-06,1.5e-06
Holozoa,,,,,,,,,,,,,,,,,,,,,4e-07,,,,
Hydrogenedentes,,,,,,,,,,,3e-05,,2e-05,4e-05,3e-05,3.5e-05,3.4e-05,3.1e-05,3.9e-05,3e-05,3.17e-05,3.61e-05,3.35e-05,3.52e-05,3.63e-05
Ichthyosporea,,,,,,,,,,,,,,,,9e-06,1.3e-05,8e-06,1e-05,1.1e-05,1.52e-05,1.54e-05,1.44e-05,1.36e-05,1.37e-05
Ignavibacteriae,,,,,,,,,,,,,,,,,,,,,8.4e-06,6.6e-06,1.03e-05,8.2e-06,8.7e-06
Ignavibacteriota,,,,,,,,,,,,,,,,6e-06,5e-06,5e-06,5e-06,,5.4e-06,4.1e-06,5.3e-06,4.3e-06,4.6e-06
KSB3 (Modulibacteria),,,,,,,,,,,,,2e-05,,3e-05,5e-06,8e-06,5e-06,2e-06,7e-06,6.7e-06,6.2e-06,6.6e-06,6.3e-06,6.2e-06
Kickxellomycotina,,,,,,,,,,,,,,,,,,,,,2e-07,,6e-07,3e-07,3e-07
Kiritimatiellota,,,,,,,,,,,,,2e-05,,,2.2e-05,1.6e-05,2.2e-05,2.5e-05,2.5e-05,1.93e-05,2.06e-05,1.94e-05,1.87e-05,2.14e-05
LCP-89,,,,,,,,,,,,,,,,,,,,,1.5e-06,1.4e-06,2e-06,1.5e-06,1.8e-06
LKM15,,,,,,,,,,,0.00014,0.00014,7e-05,0.00012,0.00011,7.8e-05,7.9e-05,8.8e-05,8.1e-05,7.5e-05,7.58e-05,7.53e-05,7.64e-05,8.05e-05,8.01e-05
Latescibacteria,,,,,,,,,,,,,,,,,,3e-06,6e-06,,5.8e-06,5.3e-06,4.9e-06,5.6e-06,4.6e-06
Latescibacterota,,,,,,,,,,,,,,,,,,6e-06,,5e-06,6.5e-06,6.1e-06,5.4e-06,5.8e-06,6.7e-06
Lentisphaerae,,,,,,,,,,,4e-05,5e-05,0.00012,8e-05,,8.5e-05,7.2e-05,8.3e-05,6.4e-05,7.9e-05,8.22e-05,8.39e-05,9.07e-05,8.39e-05,8.86e-05
Lentisphaerota,,,,,,,,,0.0002,,3e-05,4e-05,3e-05,5e-05,0.00011,4.5e-05,5.2e-05,5e-05,5.4e-05,3.3e-05,4.96e-05,5e-05,5.09e-05,5.07e-05,5.24e-05
Lokiarchaeota,,,,,,0.0004,0.0004,0.0007,0.0007,0.0005,0.0006,0.00056,0.00038,0.00043,0.00039,0.000416,0.0004,0.000374,0.000393,0.000442,0.0004184,0.0004211,0.0004312,0.0004332,0.0004188
Loricifera,,,,,,,,,,,,,,,,,,,,,,,3e-07,,
MAST-12,,,,,,,,,,,,,,,,,,,,2e-06,1.6e-06,2.1e-06,2e-06,2.2e-06,2.5e-06
MBNT15,,,,,,,,,,,,,,,,,,,,,2.8e-06,,2e-06,2.1e-06,1.7e-06
MD2896-B216,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,,3e-07,3e-07
MSBL1,,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07
Margulisbacteria,,,,,,,,,,,,,,,,,,,,,2.1e-06,2.1e-06,1.3e-06,1.5e-06,2e-06
Marine Benthic Group E,,,,,,,,,,,,2e-05,,2e-05,3e-05,1.7e-05,1.8e-05,1.8e-05,1.7e-05,3.3e-05,2.09e-05,2.11e-05,2.02e-05,2.11e-05,2.13e-05
Marine Hydrothermal Vent Group 1(MHVG-1),,,,,,,,,,,,,,2e-05,,,2e-06,,,,4.8e-06,4.7e-06,3.5e-06,4.9e-06,2.8e-06
Marine Hydrothermal Vent Group(MHVG),,,,,,,,,,,,,,,,5e-06,8e-06,3e-06,6e-06,,4.7e-06,6.4e-06,6.3e-06,6.7e-06,5.5e-06
Marinimicrobia (SAR406 clade),,,,,,,,,,,2e-05,,,,2e-05,,5e-06,9e-06,4e-06,7e-06,8.9e-06,1.01e-05,9.2e-06,9.6e-06,1.04e-05
Metazoa (Animalia),0.063,0.05,0.052,0.037,0.046,0.0482,0.0476,0.0507,0.0474,0.0473,0.04873,0.04869,0.04935,0.04914,0.0493,0.049209,0.049446,0.048582,0.049135,0.049033,0.0489731,0.049066,0.0489556,0.0490123,0.04912
Methanobacteriota,,,,,,,,,,,4e-05,5e-05,3e-05,4e-05,6e-05,6.4e-05,6.7e-05,8.9e-05,6.2e-05,7.3e-05,0.0001012,9.43e-05,8.72e-05,9.29e-05,8.35e-05
Methylomirabilota,,,,,,,,,,,,,,,,,,,,,,,,1.7e-06,
Microgenomates,,,,,,,,,,,,5e-05,,,,1.1e-05,,3.7e-05,2e-06,,0.0003349,0.0003005,0.0002289,0.0004038,0.0001925
Microsporidia,,,,,,,,,,,,,,,,5e-06,4e-06,,4e-06,8e-06,4.4e-06,3.4e-06,4.3e-06,4.7e-06,3.9e-06
Miscellaneous Euryarchaeotic Group(MEG),,,,,,,,,,,,,,,,,2e-06,,,2e-06,2.3e-06,1.7e-06,3.4e-06,2.2e-06,2.1e-06
Modulibacteria,,,,,,,,,,,,,,,,,,,,,6e-07,8e-07,8e-07,6e-07,7e-07
Mollusca,,,,,,,,,,,,,,,,3.3e-05,3.5e-05,3.4e-05,1.7e-05,3.5e-05,5.07e-05,4.98e-05,4.66e-05,5.44e-05,5.12e-05
Mucoromycota,,,,,,,,,,,0.00049,0.00037,0.00045,0.00045,0.00047,0.000405,0.000459,0.000389,0.000407,0.000472,0.0004294,0.0004339,0.000436,0.0004301,0.0004309
Mycoplasmatota,,,,,,,,,,,6e-05,7e-05,4e-05,6e-05,4e-05,2.9e-05,3.7e-05,4.6e-05,7.2e-05,4.2e-05,5.02e-05,4.41e-05,6.6e-05,5.38e-05,6.2e-05
Myxococcota,,,,,,,,,,,9e-05,9e-05,,,7e-05,0.000121,0.000163,0.000126,0.000111,0.00011,0.0001105,0.0001089,0.0001061,0.0001102,0.0001076
NB1-j,,,,,,,,,,,,,,,,1.9e-05,,,2.5e-05,1e-05,2.27e-05,2e-05,2.2e-05,2.19e-05,2.21e-05
Nanoarchaeota,,,,,,,,,,,2e-05,,,,,,,2e-06,2e-06,,2.4e-06,3.5e-06,3.1e-06,3.9e-06,4.4e-06
Nanobdellota,,,,,,,,,,,,,,,,,,,,,9e-07,6e-07,7e-07,8e-07,7e-07
Nanohaloarchaeota,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Nematoda,,,,,,,0.001,,,,0.00087,0.00074,0.00102,0.00087,0.00079,0.000927,0.00088,0.000949,0.000946,0.00088,0.0009901,0.0009737,0.0009831,0.0009716,0.0009739
Nematozoa,0.009,,0.007,,,0.0037,0.0038,0.0034,0.0041,0.0024,0.00361,0.00365,0.00387,0.00397,0.00388,0.003776,0.00377,0.003706,0.003687,0.003709,0.0037268,0.0037388,0.0037142,0.0037383,0.0037349
Nemertea,,,,,,,,,,,,,,,,8e-06,8e-06,9e-06,7e-06,9e-06,9.4e-06,9.5e-06,1.02e-05,9.7e-06,1.02e-05
Neocallimastigomycota,,,,,,,,,,,,,,,,,,,,,,,,1.2e-06,7e-07
Nitrososphaerota,,,,,,,,,,,0.00023,0.00015,0.00023,0.00023,0.00023,0.000249,0.000238,0.000232,0.000256,0.000238,0.0002725,0.0002725,0.0002666,0.0002784,0.0002745
Nitrospinae,,,,,,,,,,,,,,,,,,4e-06,,,2e-06,,1.5e-06,2.3e-06,2.1e-06
Nitrospinota,,,,,,,,,,,,,,,,4e-06,7e-06,4e-06,,4e-06,5.1e-06,4.7e-06,6.4e-06,5.2e-06,5.3e-06
Nitrospirae,,,,,,,,,,,8e-05,,5e-05,0.0001,6e-05,0.000107,9.6e-05,9.2e-05,9.8e-05,9.1e-05,0.0001002,0.0001029,0.0001024,9.71e-05,9.86e-05
Nitrospirota,,,,,,,,,,,,,3e-05,,0.0001,4e-05,2.6e-05,4.3e-05,3.2e-05,4e-05,3.82e-05,3.36e-05,3.57e-05,3.65e-05,3.87e-05
Ochrophyta,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,2e-07
Omnitrophica,,,,,,,,,,,5e-05,4e-05,,4e-05,,1.6e-05,2.4e-05,2.5e-05,3.1e-05,2e-05,3.06e-05,3.2e-05,2.97e-05,3e-05,3e-05
Oomycota,,,,,,,,,,,,0.0002,,,2e-05,0.000158,0.000129,0.000151,0.000114,0.000144,0.0001121,0.0001252,0.0001225,0.0001403,0.0001073
Opalinata,,,,,,,,,,,,,,,,,,,,,3e-07,8e-07,4e-07,1.2e-06,6e-07
Orthonectida,,,,,,,,,,,,,,,,,,,,,5e-07,9e-07,6e-07,8e-07,8e-07
PAUC34f,,,,,,,,,,,,,,,,,,4e-06,,,1.6e-06,2.3e-06,2e-06,1.4e-06,1.9e-06
Palpitomonas,,,,,,,,,,,,,,,,3e-06,1e-05,1.6e-05,1.2e-05,1.2e-05,1.09e-05,1.18e-05,1.27e-05,1.23e-05,1.2e-05
Parabasalia,,,,,,,,,,,,,,,,5e-06,2e-06,,3e-06,,5.6e-06,6.1e-06,4.2e-06,4.1e-06,4.3e-06
Parcubacteria,,,,,,,,0.0002,,,0.0001,5e-05,,3e-05,7e-05,9.7e-05,9e-05,9.2e-05,0.000101,9.2e-05,9.84e-05,9.45e-05,9.99e-05,9.66e-05,0.0001018
Parvarchaeota,,,,,,,,,,,,,,,,,,,,,2e-07,,,,2e-07
Patescibacteria,,,,,,,,0.0003,0.0003,,0.00027,0.00028,0.00028,0.0002,0.0004,0.00036,0.000362,0.000376,0.00032,0.000373,0.0003599,0.0003641,0.0003557,0.0003608,0.0003616
Peregrinibacteria,,,,,,,,,,,,,,,,2e-06,1.2e-05,1.8e-05,,4e-06,1.97e-05,1.84e-05,1.99e-05,2.14e-05,1.97e-05
Phoronida,,,,,,,,,,,,,,,,1e-05,7e-06,,,,8.7e-06,1.36e-05,8.6e-06,1.25e-05,1.37e-05
Phragmoplastophyta,,,,,,,,0.0022,,,0.00036,,0.00024,0.00047,0.00075,0.000658,0.000566,0.000607,0.000597,0.000644,0.0006156,0.0006128,0.0006078,0.0006052,0.0006096
Picozoa,,,,,,,,,,,,,,,,,,,,,5e-07,,,6e-07,
Planctomycetes,,,,,,0.0003,0.0016,0.0008,0.001,0.0002,0.0013,0.00152,0.00128,0.00111,0.00106,0.0013,0.001409,0.001414,0.0013,0.001525,0.0014616,0.0014523,0.001457,0.0014171,0.0014521
Planctomycetota,,,,,,,0.0003,0.0003,0.0011,0.0008,0.00105,0.00127,0.00097,0.00099,0.00125,0.001271,0.001248,0.001305,0.001212,0.001213,0.0012629,0.0012453,0.0012563,0.0012652,0.0012476
Platyhelminthes,,,,0.025,0.01,0.0103,0.0083,0.0104,0.0076,0.0078,0.01016,0.01013,0.00951,0.00932,0.01004,0.009723,0.009972,0.009762,0.009752,0.0096,0.0097804,0.009693,0.0097619,0.0096942,0.0097559
Porifera,,,,,,,,,,,,,,,2e-05,2e-05,1.1e-05,2.4e-05,1.8e-05,2.1e-05,1.83e-05,2.04e-05,1.97e-05,2.08e-05,2.59e-05
Preaxostyla,,,,,,,,,,,,,,,,,,,,,2e-07,5e-07,2e-07,3e-07,6e-07
Priapulida,,,,,,,,,,,,,,,,,,,,5e-06,3.4e-06,2.9e-06,2.7e-06,3.7e-06,3.8e-06
Proteobacteria,0.043,0.036,0.03,0.045,0.035,0.0619,0.0579,0.0585,0.0593,0.0504,0.06257,0.06372,0.06152,0.06099,0.0617,0.061327,0.061401,0.061875,0.061912,0.060561,0.0622278,0.0621887,0.0625066,0.0621519,0.0621604
Pseudomonadota,0.085,0.097,0.089,0.093,0.081,0.1019,0.0935,0.0959,0.1046,0.1036,0.08904,0.08995,0.08792,0.0896,0.09124,0.08867,0.088135,0.088419,0.088527,0.088988,0.0881591,0.0882356,0.0882243,0.0881988,0.0883024
RBG-1 (Zixibacteria),,,,,,,,,,,,,,,,6e-06,1e-05,4e-06,9e-06,5e-06,7.1e-06,6.8e-06,6.9e-06,5.7e-06,5.5e-06
RCP2-54,,,,,,,,,,,,,,,,1.6e-05,1.8e-05,,,,3e-06,4.1e-06,4.5e-06,5.5e-06,3.9e-06
Rhodophyta,,,,,,,,,,,,,,2e-05,,,,2e-06,2e-06,4e-06,3.07e-05,2.82e-05,2.61e-05,2.99e-05,3.07e-05
Rhodothermota,,,,,,,,,,,7e-05,,,9e-05,7e-05,5.2e-05,4.6e-05,3.7e-05,5e-05,5.6e-05,4.87e-05,4.88e-05,5.04e-05,5.38e-05,5.18e-05
Rotifera,,,,,,,,,,,,,,,,4e-06,1.6e-05,,1.4e-05,8e-06,2.4e-05,2.7e-05,2.54e-05,2.29e-05,2.63e-05
RsaHf231,,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07
SAR,0.07,0.049,0.067,0.048,0.074,0.0492,0.0538,0.0567,0.0506,0.0603,0.05576,0.05675,0.05827,0.05592,0.05674,0.057687,0.05736,0.057274,0.057684,0.05798,0.0581463,0.0581934,0.0582224,0.0579257,0.0580869
SAR324 clade(Marine group B),,,,,,,,,,,,,,,,1.1e-05,3e-06,1.5e-05,8e-06,1.9e-05,6.2e-06,7.7e-06,7.8e-06,7.7e-06,9.8e-06
SBR1093,,,,,,,,,,,,,,,,6e-06,5e-06,8e-06,6e-06,9e-06,1.04e-05,9.9e-06,1.06e-05,1.22e-05,1.1e-05
SR1 (Absconditabacteria),,,,,,,,,,,,3e-05,3e-05,,,2.2e-05,3.3e-05,3.4e-05,2.7e-05,2.8e-05,2.91e-05,2.75e-05,2.93e-05,2.92e-05,2.55e-05
Saccharibacteria,0.01,0.009,0.006,0.007,0.016,0.0106,0.0125,0.0123,0.0111,0.0108,0.01149,0.01109,0.01131,0.01141,0.01131,0.011364,0.011402,0.011553,0.011387,0.011538,0.0114666,0.011447,0.0114199,0.011484,0.0114315
Scalidophora,,,,,,,,,,,,,,,,,,,,,1.6e-06,1.3e-06,,1.6e-06,1.1e-06
Schekmanbacteria,,,,,,,,,,,,,,,,,,,,,2.6e-06,2.7e-06,2.1e-06,7e-07,2.1e-06
Spirochaetae,,,,,,,,0.0002,,,5e-05,0.0001,0.00012,5e-05,,0.000187,0.000128,0.000201,0.000187,0.00013,0.0002509,0.0002396,0.000224,0.0002307,0.0002359
Spirochaetota,,,,,,,,,,,,,,,,0.000166,6e-06,8e-06,6e-06,6e-06,1.53e-05,1.85e-05,0.000152,0.00015,1.73e-05
Streptophyta,0.22,0.226,0.204,0.251,0.221,0.1774,0.184,0.1887,0.1814,0.1897,0.17733,0.17783,0.17697,0.18058,0.17583,0.175332,0.176726,0.176056,0.175464,0.175788,0.1755872,0.1755076,0.1754604,0.1754627,0.1755268
Sumerlaeota,,,,,,,,,,,,,,,,,3e-06,,,,1.1e-06,7e-07,8e-07,1e-06,6e-07
Sva0485,,,,,,,,,,,,,,3e-05,,2.9e-05,2.3e-05,2.6e-05,1.6e-05,2.5e-05,3.32e-05,2.79e-05,2.98e-05,3.08e-05,2.73e-05
Synergistetes,,,,,,,,,,,,,,,,4e-06,,2e-06,8e-06,2e-06,1.08e-05,1.12e-05,1.19e-05,1.22e-05,1.13e-05
TM6 (Dependentiae),,,,,,,,,,,,6e-05,,,,,,3e-06,3e-06,1.1e-05,1.15e-05,1.04e-05,1.01e-05,6.5e-06,1.13e-05
Tardigrada,,,,,,,,,,,,,,,,,,,,,5.2e-06,5.6e-06,7.4e-06,6.3e-06,5.8e-06
Tectomicrobia,,,,,,,,,,,,,,,,,,,,,2.6e-06,2.2e-06,2.4e-06,2.3e-06,1.7e-06
Telonema,,,,,,,,,,,,,,,,,,,,,,5e-07,1.5e-06,4e-07,7e-07
Tenericutes,,,,,,,,,0.0002,,0.0001,0.00011,0.00011,5e-05,3e-05,8.7e-05,9.7e-05,0.000121,9.9e-05,0.000103,0.000137,0.0001424,0.0001368,0.000146,0.0001478
Thaumarchaeota,,,,,,0.0002,,0.0004,,,0.0001,0.00016,0.00019,0.00018,0.00031,0.000249,0.000283,0.000246,0.000301,0.000281,0.0003534,0.0003581,0.0003507,0.0003595,0.0003558
Thermodesulfobacteria,,,,,,,,,,,,,,,,,,,,,2e-07,6e-07,5e-07,4e-07,6e-07
Thermodesulfobacteriota,,,,,,0.0009,,,0.001,0.0015,0.00128,0.00112,0.0012,0.00131,0.00118,0.001048,0.001,0.000979,0.000974,0.001026,0.0009419,0.0009397,0.0009504,0.0009375,0.0009534
Thermomicrobiota,,,,,,,,,,,,,,,,4e-06,,,7e-06,3e-06,5e-06,4.7e-06,5.5e-06,5.8e-06,5.5e-06
Thermoplasmatota,,,,,,0.0003,0.0004,,0.0009,0.0014,0.00066,0.00075,0.00065,0.00078,0.0006,0.000712,0.000709,0.000739,0.000752,0.000751,0.0007722,0.0007797,0.0007829,0.0007803,0.000792
Thermoproteota,,,,,,,0.0005,0.0008,0.0007,0.0005,0.0004,0.00042,0.00026,0.00031,0.0004,0.000423,0.000433,0.000379,0.000468,0.000389,0.0004609,0.0004584,0.00046,0.0004452,0.0004494
Thermotogae,,,,,,,,,,,,,,,,1.5e-05,1.2e-05,1.1e-05,1e-05,5e-06,1.47e-05,1.54e-05,1.72e-05,1.64e-05,1.87e-05
Thermotogota,,,,,,,,,,,,,,,,,,,,,,,7e-07,,
Tubulinea,,,,,,0.0005,,0.0003,0.0003,0.0009,0.00047,0.00048,0.00037,0.00054,0.00052,0.000566,0.000524,0.00053,0.000536,0.00056,0.0005521,0.0005451,0.0005633,0.0005547,0.0005505
Tunicata,,,,,,,,,,,,6e-05,,,,,1.9e-05,2.4e-05,3.3e-05,3.2e-05,3.11e-05,3.16e-05,6.7e-05,2.97e-05,3.08e-05
Verrucomicrobia,,,,,,0.0014,0.0008,0.0008,0.0007,0.0008,0.00112,0.00097,0.00143,0.00145,0.0016,0.001434,0.001622,0.001667,0.001627,0.001658,0.0017151,0.0017775,0.0017222,0.0016938,0.0017751
Verrucomicrobiota,,,,,,,0.0019,0.0008,0.0004,0.0007,0.0011,0.00161,0.00159,0.0011,0.00111,0.001387,0.001331,0.001283,0.001328,0.001275,0.0012779,0.0012749,0.0012887,0.0012689,0.001265
Vertebrata,,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,2e-07,3e-07
WA-aaa01f12,,,,,,,,,,,,,,,,,,,,,,,,,5e-07
WPS-2,,,,,,,,,,,,,,,,,,,3e-06,,1.7e-06,2e-06,1.8e-06,1.4e-06,1.9e-06
WS1,,,,,,,,,,,,,,,,,,,,2e-06,,6e-07,9e-07,,
WS2,,,,,,,,,,,,,,,,,,,,,6e-07,9e-07,8e-07,2e-07,6e-07
WS6,,,,,,,,,,,,,,,,1e-05,1.5e-05,1.7e-05,1e-05,1.1e-05,2.02e-05,1.87e-05,1.91e-05,2.08e-05,1.94e-05
WSA2,,,,,,,,,,,,,,,,,4e-06,9e-06,1e-05,1.1e-05,1.15e-05,1.9e-05,1.91e-05,1.97e-05,1.62e-05
WWE3,,,,,,,,,,,,,,,,2.6e-05,1.2e-05,2.3e-05,1.3e-05,5e-06,2.91e-05,3.18e-05,3.38e-05,3.21e-05,3.35e-05
Woesearchaeota (DHVEG-6),,,,,,,,,,0.0002,0.00014,0.00016,0.0001,0.00019,0.00015,8.6e-05,0.000106,0.000116,0.000111,0.000113,0.0001302,0.0001224,0.0001285,0.0001255,0.0001298
Xenacoelomorpha,,,,,,0.0035,0.0027,0.0024,0.0034,0.0039,0.00272,0.00314,0.00304,0.00291,0.00284,0.002765,0.00286,0.002789,0.002737,0.002826,0.0027915,0.0027958,0.0028065,0.0027874,0.0028072
Zixibacteria,,,,,,,,,,,,,,,,,,,,,9e-07,8e-07,8e-07,1.3e-06,7e-07
Zoopagomycota,,,,,,,,,,,0.00046,0.0004,0.00051,0.00061,0.00072,0.000587,0.000626,0.000594,0.000587,0.000648,0.0005923,0.0005963,0.0006158,0.0005893,0.0006111
candidate division WWE3,,,,,,,,,,,,,,,,,,,,,1.5e-06,1.3e-06,1.5e-06,1.5e-06,8e-07
uncultured,,,,,,,,,,,,,,,,,,,,,2e-06,1.9e-06,8e-07,7e-07,9e-07
uncultured archaeon   ,,,,,,,,,,,,,,,,,,,,,4e-07,3e-07,,1.1e-06,
uncultured bacterium   ,,,,,,,,,,,,,,,,,,,,,9e-07,9e-07,9e-07,7e-07,8e-07
uncultured dinoflagellate   ,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
unidentified archaeon   ,,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,3e-07,
