,1K,10K,100K,1M,10M
Alteromonadales,0.0718,0.0683,0.069392,0.0695758,0.069450175
Flavobacteriales,0.0438,0.05326000000000001,0.054172,0.0540684,0.054180675
Rhodobacterales,0.0408,0.045099999999999994,0.044188,0.0444306,0.044569275
Oceanospirillales,0.032600000000000004,0.03168,0.032038,0.031884,0.031888525
Sphingomonadales,0.010199999999999999,0.01042,0.009576,0.0096824,0.009697925000000001
Pelagibacterales,0.0058,0.00566,0.00535,0.0052994,0.0053053250000000005
Hyphomicrobiales,0.0058,0.005039999999999999,0.004666,0.0046500000000000005,0.0045999
Vibrionales,0.0025000000000000005,0.00202,0.00203,0.002105,0.002093525
Saprospirales,0.0026000000000000003,0.00236,0.002842,0.002856,0.0028216499999999998
Burkholderiales,0.0048000000000000004,0.00594,0.006164,0.0060523999999999994,0.0060389499999999995
Moraxellales,0.004999999999999999,0.005600000000000001,0.00601,0.0057194,0.005726175
Thalassiosirales,0.0048000000000000004,0.00456,0.00472,0.0046198,0.0046299
Desulfobacterales,0.0025,0.0038199999999999996,0.003816,0.0037448000000000004,0.00374845
Cellvibrionales,0.006,0.00766,0.0078119999999999995,0.0077328,0.007661125
Chromatiales,0.0046,0.0036200000000000004,0.004013999999999999,0.0040057999999999995,0.004015825000000001
Pirellulales,0.003,0.00178,0.0021720000000000003,0.0021706,0.00216055
Chlorellales,0.002,0.000375,0.000388,0.0003588,0.000356575
Verrucomicrobiales,0.0026000000000000003,0.00292,0.0028020000000000002,0.0028446,0.0028397500000000003
Desulfuromonadales,0.002,0.0006200000000000001,0.00046,0.0004764,0.00048107499999999997
Pseudomonadales,0.0026000000000000003,0.0021599999999999996,0.002202,0.0022004,0.0021894
Micrococcales,0.0026,0.0027800000000000004,0.0026279999999999997,0.0025740000000000003,0.0025309
Gemmatimonadales,0.002,0.00021999999999999998,0.00015600000000000002,0.0001594,0.000156225
Chaetocerotales,0.0024000000000000002,0.00166,0.0016539999999999999,0.0015322,0.0015256749999999998
Cytophagales,0.0058000000000000005,0.006119999999999999,0.006666,0.0065492,0.006553575000000001
Synechococcales,0.002,0.0007199999999999999,0.000506,0.0005541999999999999,0.00054425
Mamiellales,0.002,0.00206,0.002086,0.0021104,0.002091
Bacillariales,0.0022,0.0021999999999999997,0.00237,0.002463,0.002447225
Naviculales,0.0052,0.005860000000000001,0.0050680000000000005,0.0050388,0.005056075
Pelagomonadales,0.001,,3.0000000000000004e-05,5.120000000000001e-05,4.795e-05
Corynebacteriales,0.002,0.00046,0.0005780000000000001,0.0005218,0.0005227249999999999
Suessiales,0.0012000000000000001,0.0002333333333333333,0.000304,0.0002828,0.0002887
Enterobacterales,0.001,0.0007199999999999999,0.000684,0.0007228,0.0007279249999999999
Cymbellales,0.001,0.00025,0.00015000000000000001,0.0001572,0.0001633
Sphingobacteriales,0.001,0.00098,0.0008399999999999999,0.0008248,0.0008495749999999999
Caulobacterales,0.001,0.0002,0.000182,0.0001628,0.000165675
Ktedonobacterales,0.001,0.0001,1.5000000000000002e-05,1.26e-05,1.42e-05
Nitrospinales,0.001,0.0001,7.200000000000002e-05,6.88e-05,6.615000000000001e-05
Ferrovales,0.001,0.0001,1.7500000000000002e-05,9.4e-06,1.01e-05
Rhodothermales,0.0015,0.0006399999999999999,0.0006079999999999999,0.0006460000000000001,0.0006382499999999999
Cryptosporangiales,0.001,,,7.3999999999999995e-06,5.4e-06
Hyphomonadales,0.001,0.00035999999999999997,0.00035600000000000003,0.0003922,0.00038527500000000003
Viruses,0.0016666666666666668,0.0012200000000000002,0.001052,0.0010446000000000001,0.001043425
Streptomycetales,0.002,0.00023999999999999998,0.00032,0.0002894,0.000282675
Rhodospirillales,0.0016666666666666668,0.0012,0.0016399999999999997,0.0015852000000000002,0.0015914
Marinilabiliales,0.0015,0.00088,0.00061,0.00057,0.0005752750000000001
Planctomycetales,0.001,0.00104,0.00098,0.0009889999999999999,0.000979525
Bacillales,0.0015,0.00074,0.0006200000000000001,0.0006006,0.000594225
Atractiellales,0.001,,1.5000000000000002e-05,1.8000000000000001e-06,3.1500000000000003e-06
Aeromonadales,0.001,0.0002,0.00018600000000000002,0.00020360000000000002,0.0001967
Desulfovibrionales,0.001,0.00019999999999999998,0.000154,0.0001446,0.00013625
Acidithiobacillales,0.001,0.0001,5.9999999999999995e-05,6.200000000000002e-05,6.214999999999999e-05
Triceratiales,0.001,0.00014,7.800000000000001e-05,6.94e-05,6.9675e-05
Anaerolineales,0.001,0.00022,0.000214,0.0002254,0.00022412499999999999
Sporadotrichida,0.001,0.00015000000000000001,0.000148,0.0001536,0.000148775
Candidatus Actinomarinales,0.001,0.0001,5.8e-05,6.479999999999999e-05,5.9025e-05
Arenicellales,0.001,0.0006799999999999999,0.0006799999999999999,0.0006652000000000001,0.0006878749999999999
Emcibacterales,0.001,0.0001,4.6e-05,4.58e-05,5.1225e-05
Isosphaerales,0.001,0.0002,6.8e-05,7.36e-05,7.3975e-05
Maricaulales,0.001,0.0005200000000000001,0.000424,0.00041659999999999993,0.00042075
Pseudanabaenales,0.001,0.00031999999999999997,0.000326,0.00030000000000000003,0.000306975
Rickettsiales,0.0015,0.0014999999999999998,0.001598,0.0015054,0.0014902499999999998
Bangiales,0.001,,1e-05,5.4e-06,5.7000000000000005e-06
Nitrosomonadales,0.0036666666666666666,0.00182,0.00183,0.0017862,0.001812
Acidimicrobiales,0.001,0.0014199999999999998,0.0012220000000000002,0.0012837999999999999,0.0013028750000000002
Propionibacteriales,0.001,0.0003399999999999999,0.00045000000000000004,0.00043020000000000005,0.00041775
Hymenochaetales,0.001,,,2.4e-06,2.9500000000000006e-06
Neisseriales,0.0015,0.0002666666666666666,0.00022199999999999998,0.0002246,0.000222925
Campylobacterales,0.001,0.00030000000000000003,0.00032399999999999996,0.000307,0.0003095
Cyanidiales,0.001,,1.666666666666667e-05,8.599999999999999e-06,1.0949999999999998e-05
Bacteriovoracales,0.001,0.000125,0.000122,0.0001368,0.00014545
Myxococcales,0.002,0.0006600000000000001,0.000608,0.0006598000000000001,0.000663475
Xanthomonadales,0.002,0.00162,0.0010780000000000002,0.0011388000000000001,0.001154575
Bacteroidales,0.002,0.00046,0.000464,0.0004852,0.0004921499999999999
Chitinophagales,0.002,0.00046,0.000466,0.000495,0.000496625
Oscillatoriales,0.001,0.00028,0.000212,0.0001944,0.000199225
Agaricales,0.001,0.0001,2.8000000000000003e-05,4.3e-05,4.2825e-05
Nitrosopumilales,0.001,0.00019999999999999996,0.00024200000000000003,0.00026100000000000006,0.00025045
Pleurocapsales,0.001,0.00013333333333333334,0.000124,0.0001268,0.00011975
Leptomyxida,0.001,,,,1.3333333333333334e-07
Thiotrichales,0.001,0.00126,0.001206,0.0011478,0.0011493
Pseudonocardiales,0.001,0.00015000000000000001,0.000182,0.000166,0.00016552500000000003
Pythiales,0.001,0.0002,4e-05,3.82e-05,3.6775e-05
Nitrospirales,0.001,0.00022,0.000186,0.00019080000000000003,0.000191875
Chlorobiales,0.001,0.0001,3.4e-05,3.22e-05,3.8575e-05
Sneathiellales,0.001,0.00015000000000000001,0.00011200000000000001,0.00011920000000000001,0.00011765000000000001
Puniceicoccales,0.003,0.0010999999999999998,0.000954,0.0009956,0.000986
Methylococcales,0.002,0.0005499999999999999,0.00038599999999999995,0.00038399999999999996,0.000373
Hypocreales,0.001,,5.6000000000000006e-05,5.6800000000000005e-05,5.4775e-05
Helotiales,0.001,0.00013333333333333334,2e-05,2.46e-05,2.625e-05
Chromulinales,0.001,,1e-05,9.6e-06,9.225e-06
Hydrogenophilales,0.001,0.0001,3.4e-05,3.1e-05,3.52e-05
Eubacteriales,0.001,0.0007000000000000001,0.00044800000000000005,0.00044879999999999996,0.00045775
Lactobacillales,0.001,0.00016,0.00017999999999999998,0.00013979999999999998,0.000138975
Deferribacterales,0.001,0.0001,1.666666666666667e-05,1.1799999999999999e-05,1.3274999999999999e-05
Rhodocyclales,0.001,0.00035999999999999997,0.00022399999999999997,0.000282,0.00028379999999999996
Thermoflexales,0.001,0.0001,1.5000000000000002e-05,6.2e-06,6.875e-06
Balneolales,0.001,0.0001,0.000116,0.00012240000000000002,0.0001115
Licmophorales,0.001,0.0001,4e-05,5.4199999999999996e-05,5.5325e-05
Nostocales,,0.0003,0.00017999999999999998,0.0001628,0.00016412500000000002
Actinomycetales,,0.00024000000000000003,0.00025,0.00021840000000000002,0.000222
Chlamydomonadales,,0.000175,9.6e-05,0.00013059999999999998,0.00011705
Bdellovibrionales,,0.00016666666666666666,0.000116,0.0001052,0.00010010000000000001
Kordiimonadales,,0.000175,9.599999999999999e-05,0.00010480000000000001,0.0001004
Pyrenomonadales,,0.000175,0.00016199999999999998,0.00017,0.000179825
Phycisphaerales,,0.00028000000000000003,0.000306,0.000277,0.00028097500000000004
Saprolegniales,,0.00013333333333333334,9e-05,8.82e-05,8.075e-05
Euplotida,,0.00015000000000000001,2e-05,2.72e-05,2.5549999999999998e-05
Sphaeropleales,,0.0002,3.4e-05,4.7000000000000004e-05,5.12e-05
Eutreptiales,,0.000125,5.4e-05,6.48e-05,5.71e-05
Syndiniales,,0.0002,3e-05,2.68e-05,2.4825e-05
Pasteurellales,,0.000125,0.000132,0.0001206,0.00012042499999999999
Eustigmatales,,0.000125,5.4e-05,5.28e-05,5.37e-05
Erysipelotrichales,,0.0002,1.4000000000000001e-05,2.54e-05,1.9475e-05
Nevskiales,,0.0003666666666666666,0.000194,0.0001776,0.0001797
Craspedida,,0.00015000000000000001,2.6000000000000002e-05,4.02e-05,4.2975e-05
Chroococcales,,0.00012000000000000002,0.000116,0.0001068,0.0001029
Laminariales,,0.0001,1e-05,2.4999999999999998e-06,1.95e-06
Peridiniales,,0.0001,7.2e-05,7.319999999999998e-05,7.155e-05
Taphrinales,,0.0001,1e-05,3.7999999999999996e-06,3.05e-06
Eurotiales,,0.0001,4.4e-05,4.4800000000000005e-05,4.1575e-05
Bryopsidales,,0.0001,1.7500000000000002e-05,1.7e-05,1.5675e-05
Eupodiscales,,0.0001,4.2000000000000004e-05,3.2200000000000003e-05,3.3774999999999994e-05
Fragilariales,,0.00022,0.00016400000000000003,0.00017020000000000002,0.0001816
Oxymonadida,,0.0001,1e-05,1.12e-05,9.574999999999999e-06
Isochrysidales,,0.00013333333333333334,3.2000000000000005e-05,3.0000000000000004e-05,3.13e-05
Pavlovales,,0.0001,1.2000000000000002e-05,1.4800000000000002e-05,1.34e-05
Rubrobacterales,,0.00015000000000000001,7e-05,7.719999999999999e-05,7.3425e-05
Bifidobacteriales,,0.0001,2e-05,1.4799999999999999e-05,1.5925e-05
Micromonosporales,,0.000125,0.00013,0.000134,0.00012555
Streptosporangiales,,0.00016666666666666666,0.00017,0.0001554,0.00015932499999999998
Pleosporales,,0.0001,4.6e-05,5.48e-05,4.9174999999999996e-05
Deinococcales,,0.0001,6.000000000000001e-05,4.4999999999999996e-05,4.4899999999999994e-05
Legionellales,,0.00026,0.00023600000000000002,0.0002488000000000001,0.00024599999999999996
Leptocylindrales,,0.0001,0.00014199999999999998,0.00011640000000000001,0.00011570000000000001
Herpetosiphonales,,0.0001,1e-05,3.5e-06,4.35e-06
Eunotiales,,0.0002,0.000146,0.0001476,0.000144175
Acidobacteriales,,0.0001,5.6000000000000006e-05,6.14e-05,5.9250000000000004e-05
Coscinodiscales,,0.00015000000000000001,5.2000000000000004e-05,7.12e-05,6.665000000000001e-05
Fibrobacterales,,0.0001,1e-05,7.2000000000000005e-06,7.125e-06
Opitutales,,0.00013333333333333334,0.00014600000000000003,0.0001286,0.000134
Cymatosirales,,0.0001,2e-05,2.0399999999999998e-05,1.9699999999999998e-05
Biddulphiales,,0.0001,4.4e-05,3.72e-05,3.7175e-05
Desulfarculales,,0.0001,1.7500000000000002e-05,1.4799999999999999e-05,1.635e-05
Anaulales,,0.00013333333333333334,2.75e-05,2.34e-05,2.0375e-05
Holophagales,,0.0001,1.3333333333333335e-05,9e-06,9.85e-06
Kineosporiales,,0.0001,2.2e-05,2.72e-05,2.845e-05
Ignavibacteriales,,0.0001,4.6e-05,6.0599999999999996e-05,5.78e-05
Geodermatophilales,,0.0001,6.2e-05,7.74e-05,7.4525e-05
Petrotogales,,0.0001,1e-05,4.2e-06,3.625e-06
Acidiferrobacterales,,0.0001,2.25e-05,2.0599999999999996e-05,1.9149999999999998e-05
Micropepsales,,0.0001,1e-05,5.2e-06,6.35e-06
Kiritimatiellales,,0.0001,0.000108,0.00011219999999999999,0.0001162
Immundisolibacterales,,0.0001,1e-05,4.8e-06,5e-06
Phototrophicales,,0.0001,2e-05,2.4e-05,2.4374999999999996e-05
Candidatus Cryosericales,,0.0001,,1.3999999999999997e-06,7.749999999999999e-07
Stephanodiscales,,0.00015000000000000001,6.4e-05,7.36e-05,6.7525e-05
Syntrophales,,0.0001,4e-05,3.4e-05,3.4e-05
Ectocarpales,,0.0003,3.4e-05,3.54e-05,3.8825e-05
Brachyspirales,,0.00019999999999999998,0.00010200000000000001,9.200000000000001e-05,9.65e-05
Diversisporales,,0.0002,4.4e-05,2.1799999999999998e-05,2.4025e-05
Parachlamydiales,,0.00015000000000000001,7.4e-05,6.1e-05,5.7925e-05
Spirochaetales,,0.0001,7.4e-05,6.8e-05,7.500000000000001e-05
Ceramiales,,0.0001,1.6666666666666667e-05,1.1999999999999999e-05,1.2499999999999999e-05
Tribonematales,,0.0001,4.2e-05,4.26e-05,4.1e-05
Peronosporales,,0.00015000000000000001,8.000000000000002e-05,8.56e-05,8.8225e-05
Saccharomycetales,,0.0001,6.200000000000002e-05,6.000000000000001e-05,6.419999999999999e-05
Sordariales,,0.0001,1.25e-05,5.2e-06,5.575e-06
Hymenostomatida,,0.0001,4e-05,4.48e-05,4.25e-05
Chlamydiales,,0.00013333333333333334,2e-05,1.94e-05,2.03e-05
Boletales,,0.0001,1.5000000000000002e-05,8.400000000000001e-06,8.7e-06
Zoopagales,,0.0001,2e-05,6.4e-06,5.2749999999999995e-06
Thermodesulfobacteriales,,0.0001,1.6666666666666667e-05,2.34e-05,2.215e-05
Fusobacteriales,,0.0001,2.6000000000000002e-05,2.94e-05,3.135e-05
Syntrophobacterales,,0.0001,6.2e-05,5.099999999999999e-05,4.8324999999999996e-05
Mortierellales,,0.00015000000000000001,1.7500000000000002e-05,2.5e-05,2.4075e-05
Parvularculales,,0.0001,9.4e-05,9.26e-05,9.5175e-05
Stylonematales,,0.0001,,2.0000000000000003e-06,1.6250000000000001e-06
Hemiaulales,,0.0001,3.0000000000000004e-05,3.28e-05,3.405e-05
Russulales,,0.0001,1.5000000000000002e-05,6e-06,6.0749999999999994e-06
Caldilineales,,0.0001,3.0000000000000004e-05,3.539999999999999e-05,3.4225e-05
Cryptomonadales,,0.0001,1.6000000000000003e-05,1.56e-05,1.5474999999999997e-05
Candidatus Brocadiales,,0.0001,3.2e-05,3.68e-05,3.3575e-05
Archaeosporales,,0.0001,2.8000000000000003e-05,2.68e-05,2.8850000000000003e-05
Magnetococcales,,0.0001,2e-05,1.4199999999999998e-05,1.5575000000000002e-05
Ardenticatenales,,0.0001,2.25e-05,2.38e-05,2.4725e-05
Leptospirales,,0.0001,3.8e-05,4.08e-05,4.395e-05
Spirulinales,,0.0001,5.2e-05,4.52e-05,4.8175e-05
Calditrichales,,0.0001,4.2000000000000004e-05,2.56e-05,2.6075e-05
Kangiellales,,0.000125,0.00011,0.0001082,0.000112775
Rhizosoleniales,,0.00013333333333333334,5.2000000000000004e-05,5.62e-05,6.0175e-05
Mycoplasmatales,,0.0001,2e-05,7.3999999999999995e-06,6.6e-06
Mucorales,,0.0001,5e-05,4.039999999999999e-05,4.16e-05
Cantharellales,,0.0001,1.6666666666666667e-05,1.24e-05,1.085e-05
Xylariales,,0.0001,2.666666666666667e-05,1.7e-05,1.5775e-05
Pyramimonadales,,0.0001,2e-05,1.22e-05,1.0549999999999999e-05
Prymnesiales,,0.0001,5e-05,3.6400000000000004e-05,3.2749999999999996e-05
Methanosarcinales,,0.0001,2e-05,3.4399999999999996e-05,3.7275e-05
Cardiobacteriales,,0.0001,1.5000000000000002e-05,2.2199999999999998e-05,2.1749999999999997e-05
Lentisphaerales,,0.0001,2.2e-05,3.7600000000000006e-05,3.8350000000000004e-05
Thalassionemales,,0.0001,2.8000000000000003e-05,3.5e-05,3.275e-05
Solirubrobacterales,,0.0001,8e-05,9.300000000000001e-05,8.93e-05
Salinisphaerales,,0.0001,4.500000000000001e-05,2.94e-05,3.4625e-05
Thoreales,,0.0001,1e-05,8.5e-06,7.350000000000001e-06
Dehalococcoidales,,0.0001,,2.4e-06,3.0250000000000003e-06
Rhodothalassiales,,0.0001,2e-05,5.4e-06,7.075e-06
Oligoflexales,,0.0001,1.7500000000000002e-05,1.0399999999999999e-05,1.2425e-05
Veillonellales,,0.0001,1.2e-05,1.0399999999999999e-05,9.075e-06
Trebouxiales,,0.0001,2e-05,2.32e-05,2.2925e-05
Miltoncostaeales,,0.0001,2.25e-05,1.4799999999999999e-05,1.67e-05
Gemmatales,,0.0004,7.6e-05,6.36e-05,6.8625e-05
Chytridiales,,0.0001,2e-05,1.18e-05,1.2450000000000001e-05
Ophiostomatales,,0.0001,,3.2e-06,1.1e-06
Ustilaginales,,0.0001,1e-05,4.2000000000000004e-06,3.6499999999999998e-06
Heterotrichida,,0.0001,1.7500000000000002e-05,2.16e-05,2.13e-05
Georgefischeriales,,0.0001,1e-05,1.6666666666666665e-06,9.000000000000001e-07
Thermales,,0.0001,2.5e-05,1.28e-05,1.1774999999999998e-05
Frankiales,,0.0001,2.7500000000000004e-05,2.52e-05,2.895e-05
Placidida,,0.0001,,1.3333333333333332e-06,7.5e-07
Acholeplasmatales,,0.0001,2.4e-05,1.82e-05,1.88e-05
Catenulisporales,,0.0001,1.3333333333333335e-05,1.24e-05,9.924999999999999e-06
Synurales,,0.0001,1e-05,5.2e-06,5.2500000000000006e-06
Rhizophydiales,,0.0001,3.4e-05,2.32e-05,2.655e-05
Euzebyales,,0.0001,1.6666666666666667e-05,2.08e-05,1.89e-05
Candidatus Nanopelagicales,,0.0001,3.2000000000000005e-05,2e-05,1.7275e-05
Capsulimonadales,,0.0001,,4.6e-06,3.825e-06
Eubodonida,,0.0001,1e-05,5.2e-06,5.1750000000000004e-06
Salsipaludibacterales,,0.0001,1.5000000000000002e-05,9.8e-06,9.699999999999999e-06
Methanomicrobiales,,0.0001,1.5000000000000002e-05,1.0399999999999999e-05,1.0925000000000001e-05
Neocallimastigales,,0.0001,1.6000000000000003e-05,1.76e-05,1.86e-05
Dictyochales,,0.0001,1e-05,2e-06,2.475e-06
Synergistales,,0.0001,1.666666666666667e-05,1.06e-05,1.0825e-05
Chattonellales,,0.0001,2.4e-05,2.56e-05,2.2125000000000002e-05
Toxariales,,0.0001,1e-05,1.02e-05,9.175e-06
Bacteroidetes Order II. Incertae sedis,,0.0001,3.4e-05,2.54e-05,2.5325e-05
Gaiellales,,0.0001,1e-05,5e-06,5.475000000000001e-06
Haloferacales,,0.0001,2.3333333333333336e-05,4.8e-06,6.799999999999999e-06
Fimbriimonadales,,0.0001,1.3333333333333335e-05,5.2e-06,4.75e-06
Egicoccales,,0.0001,2e-05,2.6e-06,3.175e-06
Holosporales,,0.0001,4.6e-05,4.18e-05,3.8375e-05
Koleobacterales,,0.0001,,1.5e-06,5.75e-07
Vicinamibacterales,,0.0001,1.25e-05,9.2e-06,7.725e-06
Peniculida,,,4e-05,3.88e-05,3.4625e-05
Sedimentisphaerales,,,3e-05,1.22e-05,1.4025e-05
Selenomonadales,,,3.8e-05,2.48e-05,2.5549999999999998e-05
Dictyotales,,,4e-05,5.2e-06,4.6499999999999995e-06
